date,ahe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2010-09,23.35,22.67,0.0,0.017961383026493135,-0.011183122472331806,-0.017961383026493135,0.011183122472331806
2010-10,23.48,22.73,0.0021340162185232913,0.018825638727028315,-0.009532935270791288,-0.016691622508505023,0.01166695148931458
2010-11,23.54,22.73,0.0017021276595744319,0.017457475380483464,-0.009143320106429022,-0.015755347720909033,0.010845447766003454
2010-12,23.62,22.76,0.008970525416488717,0.017434063477872176,-0.005407404805690562,-0.008463538061383459,0.014377930222179279
2011-01,24.18,22.87,0.040895393887214776,0.020982142857142966,0.023887558972184926,0.01991325103007181,0.01700783491502985
2011-02,23.48,22.87,0.007293007293007366,0.01825467497773821,-0.013955974440324082,-0.010961667684730843,0.021248981733331448
2011-03,23.6,22.87,0.02742707879843285,0.01825467497773821,0.0012346636948916828,0.009172403820694643,0.02619241510354117
2011-04,23.4,22.91,0.00429184549356214,0.018674966651845343,-0.026480498954306556,-0.014383121158283203,0.030772344447868697
2011-05,23.51,22.97,0.012053379250968624,0.020435362061305966,-0.022536339557996443,-0.008381982810337342,0.03458971880896507
2011-06,23.52,23.0,0.014230271668822694,0.020861074123390982,-0.02079290983753783,-0.006630802454568287,0.03502318150636052
2011-07,23.45,23.11,0.0055746140651800604,0.023019034971226187,-0.03022419570481613,-0.017444420906046126,0.03579880976999619
2011-08,23.33,23.06,-0.0055413469735721465,0.01945181255526073,-0.04309130728065306,-0.024993159528832874,0.03754996030708091
2011-09,23.46,23.11,0.00471092077087792,0.019408910454344848,-0.03341529615730902,-0.014697989683466927,0.038126216928186935
2011-10,23.43,23.18,-0.0021294718909710695,0.019797624285085757,-0.03735215319761158,-0.021927096176056825,0.03522268130664051
2011-11,23.19,23.19,-0.014868309260832536,0.020237571491421066,-0.04938263140664978,-0.0351058807522536,0.03451432214581724
2011-12,23.3,23.22,-0.01354784081287046,0.020210896309314465,-0.04416850919706439,-0.033758737122184926,0.03062066838419393
2012-01,23.47,23.26,-0.029363110008271333,0.017052907739396612,-0.05945077338812639,-0.046416017747667945,0.030087663379855058
2012-02,23.5,23.28,0.0008517887563883975,0.01792741582859642,-0.028129995667085503,-0.01707562707220802,0.028981784423473902
2012-03,23.49,23.36,-0.004661016949152668,0.021425448185395646,-0.030489769762473667,-0.026086465134548313,0.025828752813321
2012-04,23.56,23.39,0.006837606837606844,0.020951549541684874,-0.015894026903741715,-0.01411394270407803,0.02273163374134856
2012-05,23.43,23.41,-0.0034028073160358076,0.019155420113191175,-0.020782236690696544,-0.02255822742922698,0.017379429374660738
2012-06,23.43,23.46,-0.003826530612244892,0.02000000000000004,-0.020365235095221278,-0.02382653061224493,0.016538704482976386
2012-07,23.43,23.49,-0.0008528784648187452,0.016443098225876203,-0.015027993263283633,-0.017295976690694947,0.014175114798464887
2012-08,23.33,23.48,0.0,0.018213356461405105,-0.016859349154821242,-0.018213356461405105,0.016859349154821242
2012-09,23.37,23.57,-0.0038363171355498657,0.01990480311553444,-0.02333348611836949,-0.023741120251084304,0.019497168982819623
2012-10,23.18,23.56,-0.010670081092616303,0.016393442622950775,-0.03222686168798568,-0.027063523715567077,0.021556780595369373
2012-11,23.25,23.63,0.0025873221216040844,0.01897369555843026,-0.01537287491232213,-0.016386373436826175,0.017960197033926213
2012-12,23.33,23.72,0.0012875536480685657,0.02153316106804479,-0.016307496148826952,-0.020245607419976226,0.017595049796895516
2013-01,23.27,23.74,-0.008521516829995709,0.02063628546861551,-0.025362134450978624,-0.029157802298611223,0.016840617620982913
2013-02,23.41,23.78,-0.0038297872340425474,0.02147766323024055,-0.024011192136617357,-0.025307450464283097,0.02018140490257481
2013-03,23.5,23.8,0.0004257130693912969,0.01883561643835622,-0.014761759341854962,-0.018409903368964923,0.01518747241124626
2013-04,23.59,23.87,0.00127334465195251,0.02052159042325782,-0.010114735823816121,-0.019248245771305312,0.011388080475768631
2013-05,23.89,23.89,0.019632949210414037,0.020504058094831287,0.0057290609312169345,-0.0008711088844172502,0.013903888279197103
2013-06,23.94,23.96,0.021766965428937326,0.021312872975277068,0.004609030157368511,0.00045409245366025835,0.017157935271568815
2013-07,23.65,23.98,0.009389671361502299,0.020859940400170373,-0.009465046692655809,-0.011470269038668074,0.018854718054158108
2013-08,23.78,24.02,0.019288469781397467,0.022998296422487186,0.003900374895394708,-0.003709826641089719,0.015388094886002759
2013-09,23.78,24.06,0.017543859649122813,0.020789138735680883,0.006596518567374766,-0.00324527908655807,0.010947341081748047
2013-10,23.77,24.09,0.025452976704055216,0.022495755517826874,0.016684985269143818,0.0029572211862283412,0.008767991434911396
2013-11,23.86,24.16,0.026236559139784923,0.022429115531104576,0.013907857177830496,0.0038074436086803463,0.012328701961954427
2013-12,23.73,24.18,0.017145306472353287,0.01939291736930864,0.0020169228047798825,-0.002247610896955351,0.015128383667573405
2014-01,23.82,24.22,0.023635582294800204,0.02021903959561923,0.008057994339051047,0.003416542699180975,0.015577587955749157
2014-02,23.67,24.33,0.011106364801367005,0.023128679562657576,-9.838154635785287e-05,-0.012022314761290571,0.011204746347724857
2014-03,23.71,24.31,0.008936170212765994,0.021428571428571346,-0.007190778926642055,-0.012492401215805351,0.01612694913940805
2014-04,23.68,24.34,0.0038151759220008416,0.019689987431922868,-0.016336077114060852,-0.015874811509922027,0.020151253036061693
2014-05,23.47,24.4,-0.01758057764755135,0.02134784428631218,-0.03925005451834954,-0.03892842193386353,0.021669476870798194
2014-06,23.85,24.46,-0.0037593984962405952,0.020868113522537562,-0.024349215442184803,-0.024627512018778157,0.02058981694594421
2014-07,23.78,24.48,0.005496828752642815,0.020850708924103418,-0.01424554995066326,-0.015353880171460603,0.019742378703306074
2014-08,23.8,24.54,0.0008410428931875346,0.02164862614487925,-0.0163099405897815,-0.020807583251691717,0.017150983482969034
2014-09,23.78,24.56,0.0,0.020781379883624274,-0.01684050971123211,-0.020781379883624274,0.01684050971123211
2014-10,23.76,24.59,-0.00042069835927631514,0.020755500207555,-0.016516115380789634,-0.021176198566831315,0.01609541702151332
2014-11,23.83,24.66,-0.0012573344509640041,0.020695364238410598,-0.013572584344172077,-0.021952698689374602,0.012315249893208072
2014-12,23.68,24.63,-0.0021070375052676237,0.01861042183622826,-0.008638251424890728,-0.02071745934149588,0.006531213919623104
2015-01,23.98,24.74,0.006717044500419821,0.02146985962014862,0.009016354282474142,-0.014752815119728799,-0.00229930978205432
2015-02,23.9,24.79,0.009716941275876504,0.018906699547883307,0.01058725590522854,-0.009189758272006803,-0.0008703146293520363
2015-03,24.34,24.85,0.02657106706031206,0.02221308103661056,0.026791379904550848,0.0043579860237015,-0.00022031284423878735
2015-04,24.29,24.89,0.02576013513513511,0.022596548890714902,0.02680044502907417,0.0031635862444202092,-0.001040309893939057
2015-05,24.49,24.97,0.043459735832978255,0.02336065573770493,0.043109403650535394,0.020099080095273326,0.0003503321824428638
2015-06,24.41,24.97,0.023480083857442293,0.020850367947669583,0.021684365759891737,0.0026297159097727098,0.0017957180975505568
2015-07,24.75,25.01,0.04079058031959625,0.021650326797385665,0.0385337192091869,0.019140253522210587,0.0022568611104093568
2015-08,24.82,25.1,0.04285714285714284,0.022819885900570592,0.040444104871798024,0.020037256956572245,0.002413037985344812
2015-09,24.88,25.11,0.0462573591253153,0.02239413680781762,0.04616892950897356,0.023863222317497677,8.84296163417366e-05
2015-10,25.12,25.2,0.057239057239057214,0.02480683204554695,0.055962891632352095,0.032432225193510265,0.0012761656067051227
2015-11,25.16,25.25,0.05581200167855652,0.023925385239253846,0.05144881950937143,0.03188661643930268,0.004363182169185097
