date,numerator_series_id,denominator_series_id,numerator_name,denominator_name,emp_numerator,emp_denominator,share,detrended_share_ma60,detrended_share_hamilton_logshare,detrended_share_poly3_logempdiff,detrended_log_emp_numerator_poly3,detrended_log_emp_denominator_poly3
2004-06-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,325.4,1498.3,0.2171794700660748,,0.0109353031690033,-0.0161498212324149,-0.0314255353280801,-0.0152757140956651
2004-07-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,328.5,1500.7,0.2188978476710868,,0.011063653102417,-0.0100229495665047,-0.0218552278487349,-0.0118322782822302
2004-08-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,330.8,1504.3,0.2199029448913116,,0.0108859129170237,-0.0071857073085981,-0.0148065252252003,-0.0076208179166021
2004-09-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,332.9,1505.5,0.2211225506476253,,0.0152437452414502,-0.0033883994664014,-0.0084236415919827,-0.0050352421255812
2004-10-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,333.4,1509.3,0.2208971046180348,,0.009130574445658,-0.0061315192135689,-0.0068847771073201,-0.0007532578937512
2004-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,333.6,1508.3,0.2211761585891401,,0.0159681429805602,-0.0065816224237833,-0.0062634898992346,0.0003181325245487
2004-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,336.4,1509.7,0.2228257269656222,,0.0301200364116758,-0.0008532135703038,0.0021001147904531,0.002953328360757
2005-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,339.5,1512.9,0.2244034635468305,0.0683730289414257,0.0381477571516115,0.00451087433742,0.0112624525452647,0.0067515782078446
2005-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,340.0,1512.5,0.224793388429752,0.0688421966635778,0.0398334313977783,0.0045659934636903,0.0127076255350031,0.0081416320713127
2005-03-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,339.1,1515.7,0.2237250115458204,0.0623350056779865,0.0204063208203737,-0.0018684190563105,0.0100149547021635,0.011883373758474
2005-04-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,343.9,1518.0,0.2265480895915678,0.0743897468104559,0.0306434235311467,0.0090114093838415,0.0240133276661227,0.0150019182822811
2005-05-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,345.5,1524.1,0.2266911619972443,0.0734919758277532,0.0246691228399493,0.007993674366916,0.0285823768485782,0.0205887024816622
2005-06-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,346.4,1522.8,0.2274757026530076,0.0756000234362321,0.0297149655319626,0.0098101722170964,0.0310962642417695,0.0212860920246731
2005-07-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,347.1,1522.6,0.2279653224747143,0.0762397408528305,0.030452952434071,0.0103326421933678,0.0330126065776141,0.0226799643842463
2005-08-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,346.8,1523.8,0.2275889224307652,0.0728344481879599,0.0363247226264484,0.007063301738265,0.0320309787604555,0.0249676770221904
2005-09-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,347.1,1523.6,0.2278156996587031,0.072328255292764,0.0352074717548149,0.0064532006576474,0.0327643725978799,0.0263111719402324
2005-10-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,347.6,1524.3,0.2280390999147149,0.0717850726442651,0.0297743330657933,0.005838143229937,0.0340584364733853,0.0282202932434483
2005-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,348.9,1528.0,0.2283376963350785,0.0716354862055217,0.0328802977917841,0.0055623778115236,0.0376320738468898,0.0320696960353661
2005-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,349.4,1532.0,0.2280678851174934,0.0687129373714826,0.0233263938123093,0.0028066408481217,0.0388911068901967,0.0360844660420749
2006-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,348.5,1535.1,0.2270210409745293,0.0622332960877595,0.0144538455104337,-0.0033564405237038,0.0361254356350286,0.0394818761587325
2006-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,349.0,1539.1,0.2267558963030342,0.0594815413636871,0.0053215164677491,-0.0060765321816571,0.0373593483332808,0.0434358805149379
2006-03-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,350.3,1544.8,0.2267607457276023,0.057989740342351,0.0022249334067925,-0.007595610583257,0.0408645132269551,0.0484601238102122
2006-04-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,349.6,1549.5,0.225621168118748,0.0511938413981699,0.0043969972549224,-0.0141631581761485,0.0386385316378765,0.0528016898140251
2006-05-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,350.4,1554.3,0.2254391044199961,0.0490403899605409,0.0029560293113184,-0.0164887596587357,0.0406859114361015,0.0571746710948373
2006-06-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,351.3,1555.2,0.2258873456790123,0.0498353874564613,0.0029441993065268,-0.0160096442759192,0.0430003475914624,0.0590099918673816
2006-07-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,353.8,1561.1,0.2266350650182563,0.0519162499635309,-0.0098125648100138,-0.0142010294568271,0.0498285891636953,0.0640296186205224
2006-08-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,355.0,1560.1,0.227549516056663,0.0545552910699944,-0.0110989872440958,-0.0116591173069471,0.0529396109483339,0.0645987282552811
2006-09-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,355.3,1560.7,0.227654257704876,0.0533845667804338,-0.0160092041944057,-0.0126725744528126,0.0534975451954462,0.0661701196482589
2006-10-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,355.8,1554.3,0.228913337193592,0.0574879479877192,0.0002182905793117,-0.0086195458453328,0.0546054565004494,0.0632250023457823
2006-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,353.5,1557.6,0.2269517205957884,0.0465994535923624,-0.0048048614453732,-0.0186768363832552,0.0478104358543607,0.0664872722376159
2006-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,355.8,1559.5,0.2281500480923373,0.0504662734521918,-0.0084261224883914,-0.0148504136303939,0.0539748368913173,0.0688252505217112
2007-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,357.6,1561.7,0.2289812383940577,0.0524619932597718,-0.0195936669226823,-0.0126422869017339,0.0586892697376884,0.0713315566394223
2007-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,357.5,1563.1,0.2287121745249824,0.0492090268870607,-0.0216202051069274,-0.0152350597702719,0.0580670187320953,0.0733020785023672
